area,sqft,bhk,bathrooms,age_years,price_lakhs
Ameerpet,1514,1,1,6,93.41
Shamshabad,2171,2,3,20,76.61
Pocharam,1908,1,1,14,76.99
Nizampet,3347,4,5,14,167.15
Manikonda,681,1,2,3,40.17
Bowenpally,1113,4,4,22,57.19
Ameerpet,2520,4,4,22,144.1
Attapur,3462,3,3,5,148.24
Nizampet,3356,5,5,23,166.09
Nizampet,2539,4,4,19,131.08
Bowenpally,1345,3,3,25,59.14
Hitech City,3670,5,5,4,280.52
Manikonda,2009,4,4,19,122.57
Gachibowli,1306,4,3,11,96.75
Patancheru,1070,1,2,0,33.5
Bowenpally,3790,1,1,27,146.35
Madhapur,995,5,5,7,88.72
Bachupally,2155,4,5,0,108.73
Begumpet,2908,2,1,4,191.73
Madhapur,1404,1,2,21,104.51
Bowenpally,1533,5,6,5,78.87
Jubilee Hills,1879,4,4,28,168.78
Bachupally,2357,4,5,20,114.64
Patancheru,1504,2,3,2,56.34
Bachupally,3897,5,5,14,185.7
LB Nagar,1676,4,4,4,73.47
Miyapur,3587,1,1,27,166.75
Kompally,2490,2,2,23,101.63
Pocharam,2123,5,6,13,101.09
Pocharam,3501,2,3,17,146.83
Attapur,1987,1,1,15,81.84
Bachupally,1903,5,4,5,97.27
Shamshabad,1192,2,3,24,47.28
Gachibowli,3361,3,2,23,229.64
Kondapur,3829,1,2,13,255.4
Attapur,3279,1,1,26,127.21
Ameerpet,2706,1,1,23,145.58
Bowenpally,727,3,2,7,35.88
Kukatpally,1335,3,3,28,70.26
Ameerpet,3368,4,4,6,208.23
Nagole,3786,2,2,7,141.81
Hitech City,3880,4,4,12,284.43
Nallagandla,3173,2,1,5,165.81
Nagole,1120,3,4,17,49.1
Kukatpally,3199,3,3,1,182.85
Bowenpally,836,4,3,7,41.68
Madhapur,1904,5,5,10,151.95
Shamshabad,3872,4,3,0,147.04
Pocharam,2381,2,1,21,99.53
Ameerpet,1901,4,3,28,109.59
Bachupally,3906,1,2,5,185.79
Manikonda,3141,2,1,15,169.98
Pocharam,2651,2,1,26,103.26
Gachibowli,3313,5,6,19,237.49
Nallagandla,1041,3,4,11,55.25
LB Nagar,2676,2,1,10,107.03
Hitech City,3780,3,4,28,258.61
Nagole,3257,4,4,26,116.96
Manikonda,1404,1,1,28,75.07
Hitech City,674,5,6,9,62.73
Madhapur,3485,3,4,2,277.39
Begumpet,3817,2,1,12,250.8
Patancheru,2775,3,4,26,83.09
Miyapur,2689,2,1,2,145.16
Hitech City,1979,3,3,14,144.71
Patancheru,640,2,3,15,26.58
Nagole,3581,4,3,28,130.34
Bachupally,2681,2,1,12,124.48
Madhapur,3688,2,2,16,274.43
Miyapur,2300,1,2,2,117.1
Hitech City,3824,2,2,19,267.58
Nallagandla,3645,1,1,10,181.5
Kompally,2001,5,4,26,87.6
Pocharam,1187,1,2,20,52.7
Manikonda,2222,4,3,18,128.92
Nallagandla,941,1,2,21,47.43
Manikonda,2674,5,5,10,158.19
Bowenpally,3958,4,5,29,162.17
Kompally,1245,3,4,27,57.31
Tellapur,1330,3,2,15,68.45
Nagole,767,1,1,20,28.52
Pocharam,1209,1,2,2,54.79
Bowenpally,2915,5,4,21,125.92
Tellapur,2372,5,4,5,122.89
Kukatpally,2640,2,1,13,143.11
Pocharam,3468,5,6,23,152.56
Tellapur,1054,2,1,17,47.77
Jubilee Hills,3553,4,5,16,324.99
Ameerpet,2308,1,1,3,139.7
Kukatpally,3569,4,4,22,189.84
Jubilee Hills,3628,5,4,14,335.52
Bachupally,1301,4,3,10,66.17
Manikonda,3281,4,5,25,183.47
Nizampet,2199,4,5,2,120.87
Attapur,729,5,4,2,38.06
LB Nagar,3667,4,4,15,150.47
Manikonda,2445,2,1,4,146.27
Gachibowli,1986,5,4,20,142.59
Gachibowli,3466,4,4,28,231.0
Jubilee Hills,1292,5,6,9,132.01
Kondapur,3963,3,2,18,257.7
Miyapur,1994,2,3,24,99.21
Ameerpet,1393,4,5,3,87.2
